event_id	이름	지역	기관	기업	튜터	인원 수	대상	목적	장소	교육 방식	교육 형태	시간	횟수	주차	내용
6.0	우리동네 디지털안내소	서울특별시	서울시	SK텔레콤, KT, LG유플러스	이동통신 3사 직원	불명	디지털 약자 (노인 등)	스마트 기기 이용법 교육	이동통신 3사 매장 97곳	오프라인	1:1 또는 그룹 (불명)	불명	불명	불명	스마트 기기 이용법
7.0	디지털동행플라자	서울특별시 영등포구, 서울특별시 은평구	서울시	해당 정보 없음	해당 정보 없음	해당 정보 없음	장·노년층	디지털 기기 활용 능력 향상 및 디지털 디바이드 해소	디지털동행플라자 (상담존, 교육존, 여가 체험존)	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	키오스크, 스마트폰 활용법, 디지털 아트, 시니어 웹툰 등 맞춤형 디지털 교육, 디지털 퍼팅, 로봇 바둑, 경험형 콘텐츠 등
8.0	디지털 기기 사용법 교육 (기초과정)	서울특별시 영등포구 대림동	서울시	해당 정보 없음	해당 정보 없음	150명 이상 (추정)	장·노년층 및 디지털 관련 궁금증이 있는 시민	디지털 기기 기본 용어 및 사용법 숙지	서울디지털동행플라자 서남센터	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	디지털 기기 기본 용어 및 사용법
8.0	디지털 기기 활용 심화과정	서울특별시 영등포구 대림동	서울시	해당 정보 없음	해당 정보 없음	150명 이상 (추정)	장·노년층 및 디지털 관련 궁금증이 있는 시민	디지털 기기를 활용한 취미 생활	서울디지털동행플라자 서남센터	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	디지털 드로잉, 영상 편집, 온라인 방송 등 시니어 문화·여가활동 지원 프로그램
8.0	1:1 맞춤형 디지털 상담	서울특별시 영등포구 대림동	서울시	해당 정보 없음	상주 상담사	개별	장·노년층 및 디지털 관련 궁금증이 있는 시민	스마트폰, 키오스크 등 디지털 기기 사용 어려움 해결	서울디지털동행플라자 서남센터	오프라인	1:1	해당 정보 없음	해당 정보 없음	해당 정보 없음	은행 업무, 배달 주문, 열차 예매, 택시 호출 등 스마트폰 앱 사용법 등
8.0	해피테이블 활용 인지능력 향상 프로그램	서울특별시 영등포구 대림동	서울시	해당 정보 없음	해당 정보 없음	150명 이상 (추정)	장·노년층	인지능력 향상	서울디지털동행플라자 서남센터	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	해피테이블을 활용한 게임
8.0	기타 디지털 기기 체험 프로그램	서울특별시 영등포구 대림동	서울시	해당 정보 없음	해당 정보 없음	150명 이상 (추정)	장·노년층	디지털 기기 체험 및 숙달	서울디지털동행플라자 서남센터	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	키오스크 사용법, 스크린 파크골프, 체형진단 운동처방기, 증강현실 운동기기, 스마트 런닝기구 등
9.0	서울 디지털동행플라자 교육	서울특별시 은평구, 서울특별시 영등포구	서울시		디지털 전문 상담사 등	1319명 (시범 운영 기간) + 1600명 (추가)	어르신	일상생활에 필요한 디지털 역량 강화	서울 디지털동행플라자 서북센터(은평), 서남센터(영등포)	오프라인	그룹	(자료에 없음)	(자료에 없음)	(자료에 없음)	디지털 기기 사용법, 로봇 커피 주문 등 다양한 디지털 체험
10.0															
11.0	휴대전화 사용법 무료 강의	부산광역시 해운대구 우동	은누리디지털문화원	없음	박원옥	불명	실버세대	디지털 격차 해소	은누리디지털문화원	오프라인	그룹	불명	1	8	스마트폰 활용(아이디, 계정, 스마트폰 금융, 통역, 길찾기, chat GPT)
11.0	디지털 금융 무료교육	부산광역시	은누리디지털문화원	없음	박원옥	불명	부산시민	디지털 금융 역량 강화	은누리디지털문화원	오프라인	그룹	불명	1	8	스마트폰 활용(아이디, 계정, 스마트폰 금융, 통역, 길찾기, chat GPT)
11.0	시조시인을 위한 디지털 교육	부산광역시	센텀 디지털 교육관	없음	불명	12명 이상	시조시인	인공지능 챗봇 활용법 교육	부산시조시인협회 사무실	오프라인	그룹	불명	불명	불명	인공지능 챗봇 활용법
12.0	달리는 어르신 디지털 교실	부산광역시 해운대구 중1동	해운대구 중1동 행정복지센터	부산 디지털 배움터	(기사에 명시되지 않음)	(기사에 명시되지 않음, 5개 경로당 어르신)	어르신	디지털 사각지대 해소	중1동 소재 롯데캐슬스타 시니어클럽, 관내 경로당 5개소 (한마음 경로당 포함)	오프라인	그룹	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음, 9월 10일 시작, 16일 종료)	주문형 키오스크, AI프로필 사진기, 혈관 건강 검사 기기 활용 디지털 기기 교육 및 체험
13.0	선배시민자원봉사단 키오스크 활용교육	충청북도 충주시	충주시노인복지관	없음 (노인자원봉사활성화 지원사업 일환)	선배시민 자원봉사단 (스마트기기 사용 능숙한 60대 퇴직자)	기사에 명시되지 않음	키오스크 사용에 어려움을 겪는 노인	정보격차 해소 및 세대통합, 스마트기기 활용능력 향상	충주시노인복지관, 경로당 등	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	키오스크 활용법 실습
14.0	어서와, 키오스크는 처음이지	전라북도 시군구 읍면동 (구체적인 지역 정보 미제공)	효경노인복지센터	사회복지공동모금회	김형관 센터장 외 (구체적인 강사 정보 미제공)	40명	효경노인복지센터 이용 어르신	노인들의 디지털 격차와 소외현상 감소, 디지털 친숙도 및 효능감 향상	효경노인복지센터 (구체적인 장소 미제공)	오프라인	그룹	(시간 정보 미제공)	(횟수 정보 미제공)	40주 (3월~12월)	디지털기초교육, 키오스크심화교육, 현장실습, 체험여행
15.0	스마트 기기 활용 교육	서울특별시	서울시	해당 정보 없음	해당 정보 없음	해당 정보 없음	디지털 격차 해소가 필요한 노인	디지털 격차 해소 및 스마트 기기 활용 능력 향상	스마트복지관(뉴 스마트 시니어 플레이스, 스마트 헬시 라운지 등)	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	스마트 기기 활용 방법, 스마트 기기 관련 콘텐츠 활용법 등
15.0	스마트 경로당 운영	서울특별시 11개 자치구	서울시	해당 정보 없음	해당 정보 없음	해당 정보 없음	스마트 경로당 이용 어르신	안전한 경로당 이용 환경 조성	스마트 경로당 (105개)	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	스마트홈 시스템 사용법, 안전 관리 교육 등
16.0															
17.0	찾아가는 에듀버스	전라남도 나주시	전남도 디지털배움터	㈜TMD교육그룹	기사에 명시되지 않음	기사에 명시되지 않음	전남도민 (특히 나주시노인복지관 이용자)	디지털 역량 강화	나주시노인복지관	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	키오스크, AR, VR 등 디지털 신기술 체험 (키오스크를 이용한 음식 주문, 민원 발급 체험 등 포함)
18.0	디지털배움터 교육	전라남도 나주시 송월동	창의융합인재교육원	테크빌교육, 한국스마트컨설팅협회	백수영 등 7명	(정확한 인원수는 언급되지 않았으나, 어르신들을 대상으로 함)	어르신	키오스크 사용법 및 음식 주문 등 디지털 기기 활용 능력 향상	나주 송월동 양우내안애아파트 경로당	오프라인	그룹	(정확한 시간은 언급되지 않았음)	(정확한 횟수는 언급되지 않았음, 1회 진행이라고만 언급됨)	(정확한 기간은 언급되지 않았음, 3월부터 12월까지 진행 예정)	키오스크 사용법, 아이패드를 활용한 음식 주문 등
19.0	경로당 디지털 서포터즈 직무교육	경기도 수원특례시	대한노인회 경기도연합회		정혜전 (피엔티컨설팅 대표)	37명	경로당 디지털 서포터즈 (스마트폰 활용 강사)	노인층 디지털 정보격차 해소, 스마트폰 활용 능력 향상	경기도노인회관 대강당	오프라인	그룹	(시간 명시 X)	(횟수 명시 X)	(기간 명시 X)	아름다운 인생의 꿈을 키우는 자기경영, 경로당 현장 활동 사례 발표, 스마트폰 활용 교육 방법 등
20.0	경로당서포터스 직무교육	경기도 수원시	대한노인회 경기도연합회	없음	(강사 이름 미상)	50명	경로당 서포터스	디지털 미디어 리터러시 역량 강화	경기도노인회관 대강당	오프라인	그룹	(시간 미상)	(횟수 미상)	(기간 미상)	유튜브 동영상 만들기 (촬영 장비 설명, 영상 촬영 및 편집 과정 소개, 영상 편집 프로그램 활용, 영상 제작 및 유튜브 업로드 실습)
21.0	어르신 도울 디지털 서포터즈 특강	경기도, 수원시	대한노인회 경기도연합회	없음	김미애 (IT정보화 전문)	50명	경로당 디지털 서포터즈	AI 활용한 효율적인 강의 자료 제작 방법 습득 및 AI 기술 이해도 향상	대한노인회 경기도연합회 대강당	오프라인	그룹	(총 시간 불명, 3개 파트로 나뉨)	1회	1주	AI별 특징 및 활용 사례, 챗GPT 활용 스킬, 챗GPT 활용 강의 자료 만들기 노하우
22.0															
23.0															
24.0															
25.0	스마트폰 보급사업	충청남도 계룡시	계룡시 노인복지관	-	-	30명	60세 이상 저소득 노인	고독·소외감 해소, 정보 접근 장벽 낮추기, 정보격차 해소	계룡시 노인복지관 (추정)	오프라인	그룹 (추정)	-	-	-	스마트폰 교체 및 사용 교육, 인터넷 12개월 무료 이용
26.0	계룡시니어대학	충청남도 계룡시	계룡시 노인복지관	해당 정보 없음	해당 정보 없음	해당 정보 없음	노인	건강 증진 및 여가 활동 제공	해당 정보 없음	대면 및 비대면	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	아코디언, 풍물교실, 서예, 요가, 실버체조, 스마트폰 기초, 컴퓨터 교육 등 총 29개 강좌
27.0	디지털 배움터	충청북도 증평군	증평군노인복지관	해당 없음	기사에 명시되지 않음	기사에 명시되지 않음	증평군민	주민들의 디지털 역량 강화	증평군노인복지관	오프라인	그룹	기사에 명시되지 않음	4회	기사에 명시되지 않음 (연말까지)	한글 및 인터넷 기초, 스마트폰 기초, 키오스크, 3D 펜 강의 등
28.0	시니어 디지털 서포터즈 양성과정	충청북도 진천군	진천군노인복지관	충북디지털배움터	최정민	기사에 명시되지 않음	디지털 문맹 어르신	노년층의 사회적 소통 역량 강화, 가족 등 사회적 관계 증진, 즐거운 노후 생활 지원	진천군노인복지관	오프라인	그룹	기사에 명시되지 않음	1회	몇 개월 (9월~말)	스마트폰 활용(문자·사진 전송, 인터넷 검색, 카카오톡 등 SNS 활용), 동영상 제작 및 편집, 지역 관광 홍보물 제작
29.0															
30.0	디지털 튜터 양성 교육	경상북도 영주시	영주시노인복지관	경상북도사회복지공동모금회	기사에 명시되지 않음	기사에 명시되지 않음	경력 단절 여성, 은퇴 노인, 청년(NEET) 등 고용취약계층	정보화 사각지대 취약계층의 정보화 능력 향상, 읍·면 거주 디지털 취약계층의 정보 격차 해소, 지역사회 중심의 디지털 교육을 통한 정보 접근권 향상, 스마트폰 및 디지털 교육 전문인력 충원, 일자리 창출	영주시노인복지관 (추정)	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	6주 (12일~7월 26일)	이론 및 실습 병행, 스마트폰 활용 능력 향상
31.0	시니어 스마트폰 활용지도사 양성과정	인천광역시 부평구	부평구 평생학습관	에스엔에스소통연구소 (자격증 발급)	명시되지 않음	명시되지 않음 (60세 이상 부평구민)	만 60세 이상 부평구민 (인터넷 환경 보유, 스마트폰 앱 검색 및 활용 지도 관심)	디지털 교육 격차 해소, 평생학습 참여 기회 확대, 시니어 스마트폰 활용 지도사 양성	대면(3회), 온라인(Zoom, 7회)	혼합 (대면, 온라인)	그룹	3시간 (추정)	2회	10주	스마트폰 활용, 온라인 프로그램 수강, 전자도서관 이용, 온라인 소통 등
31.0	두드림 (자립동기강화 집단상담 프로그램)	인천광역시 부평구	부평구청소년지원센터 꿈드림	명시되지 않음	명시되지 않음	명시되지 않음	학교 밖 청소년 (진로 결정 어려움, 자립 희망)	학교 밖 청소년의 성공적인 자립 지원, 자립 개념 학습, 구직 기술 및 노동 상식 습득	명시되지 않음	오프라인	그룹	명시되지 않음	명시되지 않음	3주	드림빌딩, 직업의 바다로, 경제야 놀자, 일자리 구하기 대작전 등
32.0	디지털 키오스크 활용 교육	충청북도 충주시	충주시노인복지관	한국타피 주식회사	기사에 명시되지 않음	기사에 명시되지 않음	디지털 소외계층 노인	디지털 격차 해소 및 키오스크 활용능력 향상	충주시노인복지관	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	실제 무인발급기기(은행, 열차, 마트, 영화관 등)를 구현한 교육용 스마트 기기를 활용한 키오스크 사용법 교육
33.0	경로당 디지털 문해교육	경상북도 상주시	대한노인회 상주시지회	대한디지털교육협회	대한디지털교육협회 및 대한노인회 상주시지회 강사, 행복도우미	문단에서 명시되지 않음	경로당 어르신	디지털 문해 향상	대한노인회 상주시지회 4층 대회의실	오프라인	그룹	문단에서 명시되지 않음	문단에서 명시되지 않음	문단에서 명시되지 않음	문단에서 명시되지 않음
34.0	어르신 디지털 나들이 지원단	서울특별시 전 자치구	서울디지털재단		어르신 100명 (25년 이상 직업훈련교사, 20~30년 교사 또는 IT 관련 기업 종사 경험자 등)	1만여 명	어르신	디지털 격차 해소	서울시내 복지관, 도서관 등 52곳 및 별도 교육 장소	오프라인	1:1 또는 그룹	불명	불명	불명	스마트폰 기본 활용법(블루투스, 와이파이 설정, 문자 보내기 등), 카카오톡 활용법(프로필 편집, 사진 보내기 등), 백신 앱 다운로드 및 인증 방법 등
35.0	디지털 문맹 탈출 프로그램	경기도 의정부시	가재울도서관	없음	명시되지 않음	명시되지 않음	60세 이상 노년층	디지털 기기 활용 능력 향상	가재울도서관	오프라인	그룹	명시되지 않음	명시되지 않음	6주 (9월 15일 ~ 10월 27일)	스마트폰 기본 사용법, 실생활 활용 기능, 키오스크 사용법 (은행, 도서관, 커피숍, 패스트푸드점 등)
36.0	디지털 키오스크 사용법 교육	강원도 태백시	태백시 노인복지관	주식회사 블랙스톤	기사에 명시되지 않음	기사에 명시되지 않음	태백시 노인복지관 이용 어르신	디지털 격차 해소 및 디지털 기기(키오스크) 사용에 대한 두려움 해소	태백시 노인복지관	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	키오스크 사용법 (병원, 마트, 관공서 등 6가지 업종 중심)
37.0	경로당 자체 디지털강사 양성교육	충청북도 12개 시군	대한노인회 충북연합회		(명시되지 않음)	55명	경로당에서 '디지털 강사'로 활동할 희망자	어르신들의 디지털 친숙도 향상 및 디지털 강사 양성	권역별 경로당 (구체적인 장소 명시 X)	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	4주	와이파이 연결, 앱 설치 및 실행, 카카오톡 만들기 등 스마트기기 활용법
38.0	노인 디지털 역량 강화 교육	충청북도 청주시 상당구	상당보건소	충북디지털배움터	박장미 기자 (추정)	(불명)	경증치매 환자	키오스크 및 스마트폰 사용 역량 강화	(불명)	오프라인	그룹	(불명)	2회	2주	키오스크와 스마트폰 사용법
39.0															
40.0	PC 활용 정보화 교육	경기도 구리시	구리시청	-	희망일자리 사업 참여자(PC 사용 숙련자)	-	경로당 어르신	어르신들의 정보격차 해소 및 알 권리 충족, 스마트 경로당 조성	경로당	오프라인	그룹	-	-	3개월(9월까지)	경로당 회계처리 위한 PC 활용 문서작성, 구리시 블로그/유튜브 활용, 화상회의 프로그램 사용법
41.0	스마트한 노후 생활 교실	부산광역시 연제구 거제1동	찾아가는 보건복지팀			(명시되지 않음)	경로당 어르신	디지털 소외 예방	거제2차쌍용스윗닷홈예가 경로당	오프라인	그룹	(명시되지 않음)	1회/월	4개월(3월-6월)	스마트폰 어플 설치방법, 카카오톡 사진 전송방법, 유튜브 컨텐츠 검색방법 등
42.0	스마트한 노후 생활 교실	부산광역시 연제구 거제1동	연제구 거제1동		찾아가는 보건복지팀	(불명)	경로당 어르신	디지털 소외 예방, 스마트폰 활용능력 향상	월드메르디앙경로당	오프라인	그룹	(불명)	1회/월	4주	스마트폰 기능 사용법 (날씨 검색, 건강 정보 검색 등)
43.0	스마트폰 활용 교육	인천광역시 동구 송현1·2동	송현1·2동 주민자치회	없음	김경순 교육분과장 외	불명	노인	디지털 격차 해소 및 스마트폰 활용 능력 향상을 통한 세상과의 소통 용이	불명	오프라인	그룹	불명	불명	불명	스마트폰 활용법
44.0	나도한다. 키오스크!	인천광역시 동구	(재)인천인재평생교육진흥원	없음	명시되지 않음	30명	60세 이상 어르신(정보 취약계층)	디지털 능력 향상 (키오스크, 스마트폰 사용)	동구노인복지관, 주민센터, CGV, 패스트푸드점 등	오프라인	그룹	명시되지 않음	1회/주 (5회차 수업)	10주	키오스크, 스마트폰 사용법 등
45.0															
46.0	2023년 디지털 역량강화 교육 사업	인천광역시	인천시	(기사에 언급되지 않음)	(기사에 언급되지 않음)	약 2만 8400명 (2022년 기준, 2023년 예상치는 언급되지 않음)	디지털 기기 이용에 어려움이 있는 고령층 및 정보취약계층	디지털 격차 해소 및 디지털 역량 강화	도서관, 복지관, 디지털배움터,  도서·산간 지역 (찾아가는 교육)	온라인, 오프라인	그룹	(기사에 언급되지 않음)	(기사에 언급되지 않음)	(기사에 언급되지 않음)	키오스크 주문, 스마트폰 활용, 대중교통 온라인 예약 등 일상생활 관련 디지털 활용 교육
47.0	모바일 디지털 기기 활용 교육	인천광역시 남동구	남동농협	삼성	명시되지 않음	명시되지 않음	여성 조합원 (시니어 세대)	디지털 장벽 해소 및 디지털 기기 활용 능력 향상, 보이스피싱 예방	백암 삼성 시니어 디지털 아카데미 체험센터	오프라인	그룹	명시되지 않음	명시되지 않음	명시되지 않음	은행, 주민센터, 패스트푸드점, 병원/약국, 영화관 등 장소별 디지털 기기 사용법 및 보이스피싱 예방 교육
48.0	스마트폰 활용 정보화 교육	경상남도 양산시	양산시사회복지관				관내 어르신	고령층의 디지털 소외 예방, 사회적 고립 및 금융사기 예방, 정서적 유대감 형성		오프라인	그룹	1시간	5회	1주	스마트폰을 활용한 문자 보내기, 사진 촬영, 기본적인 앱 활용
49.0															
50.0															
51.0															
52.0	어르신 키오스크 교육	서울특별시 서대문구 연희동	연희동자치회관	(해당 정보 없음)	전문 강사 (이름 미상)	15명	55세 이상 어르신	키오스크 사용법 익히기	연희동자치회관	오프라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	4주 (예상)	키오스크 사용법
53.0	노후 경로당 그린 리모델링 사업	서울특별시 서대문구	서대문구청				노인	경로당 시설 개선	백련, 신촌, 은가, 우정 경로당	오프라인					리모델링
53.0	경로당 물품 지원 사업	서울특별시 서대문구	서대문구청				노인	경로당 편의시설 개선	각 경로당	오프라인					가구, 가전제품, 휴대형 소화기, 찜질용 온열기, 실내용 자전거 등 제공
53.0	경로당 프로그램 제공 사업	서울특별시 서대문구	서대문구청				노인	건강 증진 및 여가 활용	각 경로당, 지역 복지관	오프라인	그룹				건강걷기, 치매예방, 텃밭가꾸기, 마사지, 웃음치료, 노래교실, 공예, 클레이아트 등
53.0	스마트 기기 활용 교육	서울특별시 서대문구	서대문구청		전문 디지털 강사	500명	50세 이상 노인	스마트 기기 활용 능력 향상	50여 곳의 경로당과 여가복지시설	오프라인	소규모 그룹				스마트폰과 키오스크(무인 단말기) 활용 교육 등
54.0	정보화교육과 함께 하는 디지털 생활	경기도 용인시 기흥구 영덕2동	대한노인회 용인시 기흥구지회			20명	관내 경로당 어르신	어르신들의 스마트폰 활용 능력 향상 및 젊은 세대와의 소통 증진	영덕2동 회의실	오프라인	그룹		1회/주	8주	스마트폰 기본 사용법(글자 크기, 음량 조절 등), 메신저 사용법, 인터넷 검색 방법 등
55.0	키오스크 활용 교육	경기도 용인시 처인구 삼가동	처인노인복지관	해당 정보 없음	사전 교육 받은 어르신 안내 도우미	해당 정보 없음 (다수의 어르신)	어르신	디지털 기기 활용 어려움 해소 및 건강관리 향상	처인노인복지관 2층	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	키오스크를 이용한 메뉴 선택, 포인트 적립, 결제 등 다양한 상황에서의 사용법 숙지
56.0															
57.0															
58.0	디지털 리터러시 역량 강화 교육	경기도 수원시	서호노인복지관	없음	명시되지 않음	명시되지 않음	노인 일자리 사회서비스형 사업 참여자	디지털 소외 문제 완화 및 디지털 역량 강화	서호노인복지관	오프라인	그룹	명시되지 않음	명시되지 않음	22일 (총 기간)	버스 정류장 도착시간 확인, 와이파이 연결, 카카오톡 활용 업무 기록 및 보고 등
59.0	고령층 대상 금융 교육 영상		금융감독원		(미상)	(미상)	고령층	노후 금융 관리 및 금융 사기 예방	온라인 (유튜브, e-금융교육센터)	온라인	그룹	10분 내외	(미상)	(미상)	노후시기별 돈관리 요령, 연금관리, 노년기 대출과 유의사항, 금융사기 예방, 디지털기기를 이용한 금융거래 등
60.0	경로당 디지털 지원 시스템 활용 교육	경상북도 경주시 읍면동	경주시, 대한노인회 경주시지부		대한노인회 경주시지부 행복도우미	50곳 경로당 어르신	어르신	디지털 역량 강화, 사회 참여 확대	경로당 50곳	온라인, 오프라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	(기간 정보 없음)	사회관계망서비스(SNS) 교육, 스마트폰 조작, 유튜브 활용, 영상편집 교육
61.0	누리자디지털 키오스크 체험 교육	경상남도 김해시	경상남도	없음	(명시되지 않음)	(명시되지 않음)	디지털 기기 활용에 어려움을 겪는 고령층	고령층의 디지털 기기 접근성 향상 및 일상생활 지원	김해 소재 패스트푸드점	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	키오스크 주문, 결제 등 실습
62.0															
63.0	찾아가는 어르신 모바일 길잡이 사업	세종특별자치시 전동면 등 8곳	세종시		전문 강사	129명	노인	정보격차 해소, 스마트폰 활용 능력 향상	경로당, 노인문화센터	오프라인	1대1	(시간 정보 없음)	(횟수 정보 없음)	(기간 정보 없음)	스마트폰 사용법, 버스/기차표 예매, 보이스피싱 예방 등
64.0															
65.0	디지털문해교실	충청남도 청양군	청양군		문해교사	102명	성인문해교실 학습자 (노인 포함)	디지털 문화 접근 및 활용 능력 향상	14개 성인문해교실	오프라인	그룹	2시간	1회	11월말까지(기간 명시 없음)	1단계: 충남형 부교재 '소망의 씨앗', 언어학습기(세이펜) 활용 교육<br>2,3단계: 태블릿 PC 활용 무인안내기(키오스크) 수업
66.0	어르신, 디지털에 반하다!	대구광역시	과학기술정보통신부, 한국정보화진흥원		(미상)	10명 내외	만 55세 이상 시니어	어르신들의 디지털 종합역량 함양	(미상, 각자의 자택)	온라인	그룹	2시간/일, 총 8시간	1회/일	4일	모바일 정부 안내문 확인, 금융앱 활용 및 계좌이체, 키오스크 사용, 비대면 주문앱 활용 등 실생활 디지털 활용 및 금융범죄 피해 예방, 디지털 과의존 예방 교육
67.0															
68.0	스마트폰 해킹 예방 교육	부산광역시 기장군 일광면 동백리	고리원자력본부			(명시되지 않음)	주변 지역 어르신	스미싱 등 금융사기의 경각심 고취 및 금융사기 피해 감소	온정마을	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	(명시되지 않음)	스마트폰을 통한 금융사기, 악성 앱 설치 등 해킹 사례 설명, 보이스피싱, 스미싱 예방법과 주의사항
69.0	스마트한 백세인생	부산광역시 기장군 기장읍	기장읍행정복지센터	없음	기사에 명시되지 않음	20명	관내 어르신	스마트폰 활용 및 보이스피싱 예방	기장읍행정복지센터	오프라인	그룹	기사에 명시되지 않음	주 2회	1주	스마트폰 효율적인 사용법, 모바일 건강보험증 활용법, 블루투스 기기 연동법, 보이스피싱 실제 피해사례를 통한 대처 방법
70.0	어르신 역량 강화 프로그램–키오스크 교육	부산광역시 기장군 정관읍	정관읍행정복지센터	부산 디지털 배움터	기사에 명시되지 않음	기사에 명시되지 않음, 다만 65세 이상 1인 가구	65세 이상 1인 가구	세대 간 디지털 격차 해소, 어르신들의 자신감 고양과 정서적 지지 도모	기사에 명시되지 않음,  다만 실제 무인계산대를 이용한 장보기 실습 포함	오프라인	그룹	기사에 명시되지 않음	2회	2주	키오스크 사용법 및 무인계산기를 활용한 장보기 활동
71.0	디지털 역량 강화를 위한 무인주문기(키오스크) 활용 특강	전라북도 전주시	전주시				음식점 등 무인주문 시스템에 익숙하지 못한 노인 등 디지털 소외계층	무인주문 시스템 활용능력 향상, 스마트폰 활용법 및 스미싱 예방 교육		오프라인	그룹				무인주문기(키오스크) 활용법, 스마트폰 활용법, 스미싱 범죄 예방법
71.0	디지털배움터 (디지털 기초, 디지털 생활, 디지털 심화, 디지털 특별 과정)	전라북도 전주시	전주시	㈜KTcs			전주시민	디지털 역량 강화	전주 역세권 거점센터, 노인복지관 등	오프라인	그룹				스마트폰, 정부24 이용방법, 모바일 금융, 키오스크 활용, 디지털 콘텐츠 제작, AR, 드론, 배달앱 활용 등
71.0	이동형 디지털 교육	전라북도 전주시 (주위에 디지털 배움터가 없는 지역)	전주시				주위에 디지털 배움터가 없는 지역 주민	디지털 역량 강화	경로당, 마을회관 등	오프라인	그룹				스마트폰, 정부24 이용방법, 모바일 금융, 키오스크 활용, 디지털 콘텐츠 제작, AR, 드론, 배달앱 활용 등 (디지털배움터와 유사)
